component,dependency,version,license,direct_or_transitive,ecosystem,flagged,flag_reason,classification
api,github.com/segmentio/asm/cpu/arm,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
api,github.com/segmentio/asm/cpu/arm64,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
api,github.com/segmentio/asm/cpu/cpuid,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
api,github.com/segmentio/asm/cpu/x86,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
api,github.com/shopspring/decimal,(see go.sum),MIT,transitive,go,False,,a
api,go.opentelemetry.io/otel,(see go.sum),Apache-2.0,transitive,go,False,,a
api,go.opentelemetry.io/otel/trace,(see go.sum),Apache-2.0,transitive,go,False,,a
api,golang.org/x/net,(see go.sum),BSD-3-Clause,transitive,go,False,,a
api,golang.org/x/sync/semaphore,(see go.sum),BSD-3-Clause,transitive,go,False,,a
api,golang.org/x/sys,(see go.sum),BSD-3-Clause,transitive,go,False,,a
api,golang.org/x/text,(see go.sum),BSD-3-Clause,transitive,go,False,,a
api,google.golang.org/genproto/googleapis/rpc/status,(see go.sum),Apache-2.0,transitive,go,False,,a
api,google.golang.org/grpc,(see go.sum),Apache-2.0,direct,go,False,,a
api,google.golang.org/protobuf,(see go.sum),BSD-3-Clause,transitive,go,False,,a
ingest,github.com/ClickHouse/ch-go,(see go.sum),Apache-2.0,transitive,go,False,,a
ingest,github.com/ClickHouse/clickhouse-go/v2,(see go.sum),Apache-2.0,direct,go,False,,a
ingest,github.com/andybalholm/brotli,(see go.sum),MIT,transitive,go,False,,a
ingest,github.com/andybalholm/brotli/flate,(see go.sum),BSD-3-Clause,transitive,go,False,,a
ingest,github.com/cespare/xxhash/v2,(see go.sum),MIT,transitive,go,False,,a
ingest,github.com/go-faster/city,(see go.sum),MIT,transitive,go,False,,a
ingest,github.com/go-faster/errors,(see go.sum),BSD-3-Clause,transitive,go,False,,a
ingest,github.com/google/uuid,(see go.sum),BSD-3-Clause,direct,go,False,,a
ingest,github.com/klauspost/compress,(see go.sum),Apache-2.0,transitive,go,False,,a
ingest,github.com/klauspost/compress/internal/snapref,(see go.sum),BSD-3-Clause,transitive,go,False,,a
ingest,github.com/klauspost/compress/s2,(see go.sum),BSD-3-Clause,transitive,go,False,,a
ingest,github.com/klauspost/compress/snappy,(see go.sum),BSD-3-Clause,transitive,go,False,,a
ingest,github.com/klauspost/compress/zstd/internal/xxhash,(see go.sum),MIT,transitive,go,False,,a
ingest,github.com/paulmach/orb,(see go.sum),MIT,transitive,go,False,,a
ingest,github.com/pierrec/lz4/v4,(see go.sum),BSD-3-Clause,transitive,go,False,,a
ingest,github.com/segmentio/asm/bswap,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
ingest,github.com/segmentio/asm/cpu,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
ingest,github.com/segmentio/asm/cpu/arm,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
ingest,github.com/segmentio/asm/cpu/arm64,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
ingest,github.com/segmentio/asm/cpu/cpuid,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
ingest,github.com/segmentio/asm/cpu/x86,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
ingest,github.com/segmentio/kafka-go,(see go.sum),MIT,direct,go,False,,a
ingest,github.com/shopspring/decimal,(see go.sum),MIT,transitive,go,False,,a
ingest,go.opentelemetry.io/otel,(see go.sum),Apache-2.0,transitive,go,False,,a
ingest,go.opentelemetry.io/otel/trace,(see go.sum),Apache-2.0,transitive,go,False,,a
ingest,golang.org/x/net,(see go.sum),BSD-3-Clause,transitive,go,False,,a
ingest,golang.org/x/sync/errgroup,(see go.sum),BSD-3-Clause,direct,go,False,,a
ingest,golang.org/x/sys,(see go.sum),BSD-3-Clause,transitive,go,False,,a
ingest,golang.org/x/text,(see go.sum),BSD-3-Clause,transitive,go,False,,a
ingest,google.golang.org/genproto/googleapis/rpc/status,(see go.sum),Apache-2.0,transitive,go,False,,a
ingest,google.golang.org/grpc,(see go.sum),Apache-2.0,direct,go,False,,a
ingest,google.golang.org/protobuf,(see go.sum),BSD-3-Clause,direct,go,False,,a
enterprise,github.com/ClickHouse/ch-go,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,github.com/ClickHouse/clickhouse-go/v2,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,github.com/andybalholm/brotli,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/andybalholm/brotli/flate,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,github.com/beevik/etree,(see go.sum),BSD-2-Clause,transitive,go,False,,a
enterprise,github.com/cespare/xxhash/v2,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/coreos/go-oidc/v3/oidc,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,github.com/crewjam/saml,(see go.sum),BSD-2-Clause,transitive,go,False,,a
enterprise,github.com/davecgh/go-spew/spew,(see go.sum),ISC,transitive,go,False,,a
enterprise,github.com/emicklei/go-restful/v3,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/fxamacker/cbor/v2,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/go-faster/city,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/go-faster/errors,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,github.com/go-jose/go-jose/v4,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,github.com/go-jose/go-jose/v4/json,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,github.com/go-logr/logr,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,github.com/go-openapi/jsonpointer,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,github.com/go-openapi/jsonreference,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,github.com/go-openapi/swag,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,github.com/gogo/protobuf,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,github.com/golang-jwt/jwt/v4,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/golang/protobuf,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,github.com/google/gnostic-models,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,github.com/google/go-cmp/cmp,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,github.com/google/gofuzz,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,github.com/google/uuid,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,github.com/imdario/mergo,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,github.com/jackc/pgpassfile,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/jackc/pgservicefile,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/jackc/pgx/v5,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/jackc/puddle/v2,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/jonboulle/clockwork,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,github.com/josharian/intern,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/json-iterator/go,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/klauspost/compress,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,github.com/klauspost/compress/internal/snapref,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,github.com/klauspost/compress/s2,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,github.com/klauspost/compress/snappy,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,github.com/klauspost/compress/zstd/internal/xxhash,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/mailru/easyjson,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/mattermost/xml-roundtrip-validator,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,github.com/modern-go/concurrent,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,github.com/modern-go/reflect2,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,github.com/munnerz/goautoneg,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,github.com/paulmach/orb,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/pierrec/lz4/v4,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,github.com/russellhaering/goxmldsig,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,github.com/segmentio/asm/bswap,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
enterprise,github.com/segmentio/asm/cpu,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
enterprise,github.com/segmentio/asm/cpu/arm,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
enterprise,github.com/segmentio/asm/cpu/arm64,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
enterprise,github.com/segmentio/asm/cpu/cpuid,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
enterprise,github.com/segmentio/asm/cpu/x86,(see go.sum),"MIT-0 (declared as ""MIT No Attribution"" in LICENSE; SPDX MIT-0, permissive)",transitive,go,True,go-licenses reported Unknown; manually confirmed from module's LICENSE file,a
enterprise,github.com/segmentio/kafka-go,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/shopspring/decimal,(see go.sum),MIT,transitive,go,False,,a
enterprise,github.com/spf13/pflag,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,github.com/x448/float16,(see go.sum),MIT,transitive,go,False,,a
enterprise,go.opentelemetry.io/otel,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,go.opentelemetry.io/otel/trace,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,golang.org/x/crypto/ripemd160,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,golang.org/x/net,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,golang.org/x/oauth2,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,golang.org/x/sync,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,golang.org/x/sys,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,golang.org/x/term,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,golang.org/x/text,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,golang.org/x/time/rate,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,google.golang.org/genproto/googleapis/rpc/status,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,google.golang.org/grpc,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,google.golang.org/protobuf,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,gopkg.in/inf.v0,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,gopkg.in/yaml.v2,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,gopkg.in/yaml.v3,(see go.sum),MIT,transitive,go,False,,a
enterprise,k8s.io/api,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,k8s.io/apimachinery/pkg,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,k8s.io/apimachinery/third_party/forked/golang/reflect,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,k8s.io/client-go,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,k8s.io/klog/v2,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,k8s.io/kube-openapi/pkg,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,k8s.io/kube-openapi/pkg/internal/third_party/go-json-experiment/json,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,k8s.io/kube-openapi/pkg/validation/spec,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,k8s.io/utils,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,k8s.io/utils/internal/third_party/forked/golang/net,(see go.sum),BSD-3-Clause,transitive,go,False,,a
enterprise,sigs.k8s.io/json,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,sigs.k8s.io/structured-merge-diff/v4,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,sigs.k8s.io/yaml,(see go.sum),Apache-2.0,transitive,go,False,,a
enterprise,sigs.k8s.io/yaml/goyaml.v2,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,github.com/beorn7/perks/quantile,(see go.sum),MIT,transitive,go,False,,a
deploy/operator,github.com/cespare/xxhash/v2,(see go.sum),MIT,transitive,go,False,,a
deploy/operator,github.com/davecgh/go-spew/spew,(see go.sum),ISC,transitive,go,False,,a
deploy/operator,github.com/emicklei/go-restful/v3,(see go.sum),MIT,transitive,go,False,,a
deploy/operator,github.com/evanphx/json-patch/v5,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,github.com/fxamacker/cbor/v2,(see go.sum),MIT,transitive,go,False,,a
deploy/operator,github.com/go-logr/logr,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,github.com/go-logr/zapr,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,github.com/go-openapi/jsonpointer,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,github.com/go-openapi/jsonreference,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,github.com/go-openapi/swag,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,github.com/gogo/protobuf,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,github.com/golang/groupcache/lru,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,github.com/golang/protobuf,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,github.com/google/gnostic-models,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,github.com/google/go-cmp/cmp,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,github.com/google/gofuzz,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,github.com/google/uuid,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,github.com/imdario/mergo,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,github.com/josharian/intern,(see go.sum),MIT,transitive,go,False,,a
deploy/operator,github.com/json-iterator/go,(see go.sum),MIT,transitive,go,False,,a
deploy/operator,github.com/mailru/easyjson,(see go.sum),MIT,transitive,go,False,,a
deploy/operator,github.com/modern-go/concurrent,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,github.com/modern-go/reflect2,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,github.com/munnerz/goautoneg,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,github.com/pkg/errors,(see go.sum),BSD-2-Clause,transitive,go,False,,a
deploy/operator,github.com/prometheus/client_golang/prometheus,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,github.com/prometheus/client_model/go,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,github.com/prometheus/common,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,github.com/prometheus/procfs,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,github.com/spf13/pflag,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,github.com/x448/float16,(see go.sum),MIT,transitive,go,False,,a
deploy/operator,go.uber.org/multierr,(see go.sum),MIT,transitive,go,False,,a
deploy/operator,go.uber.org/zap,(see go.sum),MIT,transitive,go,False,,a
deploy/operator,golang.org/x/exp/maps,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,golang.org/x/net,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,golang.org/x/oauth2,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,golang.org/x/sys/unix,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,golang.org/x/term,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,golang.org/x/text,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,golang.org/x/time/rate,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,gomodules.xyz/jsonpatch/v2,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,google.golang.org/protobuf,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,gopkg.in/inf.v0,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,gopkg.in/yaml.v2,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,gopkg.in/yaml.v3,(see go.sum),MIT,transitive,go,False,,a
deploy/operator,k8s.io/api,(see go.sum),Apache-2.0,direct,go,False,,a
deploy/operator,k8s.io/apiextensions-apiserver/pkg/apis/apiextensions,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,k8s.io/apimachinery/pkg,(see go.sum),Apache-2.0,direct,go,False,,a
deploy/operator,k8s.io/apimachinery/third_party/forked/golang,(see go.sum),BSD-3-Clause,direct,go,False,,a
deploy/operator,k8s.io/client-go,(see go.sum),Apache-2.0,direct,go,False,,a
deploy/operator,k8s.io/klog/v2,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,k8s.io/kube-openapi/pkg,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,k8s.io/kube-openapi/pkg/internal/third_party/go-json-experiment/json,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,k8s.io/kube-openapi/pkg/validation/spec,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,k8s.io/utils,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,k8s.io/utils/internal/third_party/forked/golang/net,(see go.sum),BSD-3-Clause,transitive,go,False,,a
deploy/operator,sigs.k8s.io/controller-runtime,(see go.sum),Apache-2.0,direct,go,False,,a
deploy/operator,sigs.k8s.io/json,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,sigs.k8s.io/structured-merge-diff/v4,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,sigs.k8s.io/yaml,(see go.sum),Apache-2.0,transitive,go,False,,a
deploy/operator,sigs.k8s.io/yaml/goyaml.v2,(see go.sum),Apache-2.0,transitive,go,False,,a
terraform,github.com/fatih/color,(see go.sum),MIT,transitive,go,False,,a
terraform,github.com/golang/protobuf/ptypes/empty,(see go.sum),BSD-3-Clause,transitive,go,False,,a
terraform,github.com/hashicorp/go-hclog,(see go.sum),MIT,transitive,go,False,,a
terraform,github.com/hashicorp/go-plugin,(see go.sum),MPL-2.0,transitive,go,True,"MPL-2.0: flagged for explicit per-item citation per policy, not because it's expected to block",a
terraform,github.com/hashicorp/go-uuid,(see go.sum),MPL-2.0,transitive,go,True,"MPL-2.0: flagged for explicit per-item citation per policy, not because it's expected to block",a
terraform,github.com/hashicorp/terraform-plugin-framework,(see go.sum),MPL-2.0,direct,go,True,"MPL-2.0: flagged for explicit per-item citation per policy, not because it's expected to block",a
terraform,github.com/hashicorp/terraform-plugin-go,(see go.sum),MPL-2.0,direct,go,True,"MPL-2.0: flagged for explicit per-item citation per policy, not because it's expected to block",a
terraform,github.com/hashicorp/terraform-plugin-log,(see go.sum),MPL-2.0,transitive,go,True,"MPL-2.0: flagged for explicit per-item citation per policy, not because it's expected to block",a
terraform,github.com/hashicorp/terraform-registry-address,(see go.sum),MPL-2.0,transitive,go,True,"MPL-2.0: flagged for explicit per-item citation per policy, not because it's expected to block",a
terraform,github.com/hashicorp/terraform-svchost,(see go.sum),MPL-2.0,transitive,go,True,"MPL-2.0: flagged for explicit per-item citation per policy, not because it's expected to block",a
terraform,github.com/hashicorp/yamux,(see go.sum),MPL-2.0,transitive,go,True,"MPL-2.0: flagged for explicit per-item citation per policy, not because it's expected to block",a
terraform,github.com/mattn/go-colorable,(see go.sum),MIT,transitive,go,False,,a
terraform,github.com/mattn/go-isatty,(see go.sum),MIT,transitive,go,False,,a
terraform,github.com/mitchellh/go-testing-interface,(see go.sum),MIT,transitive,go,False,,a
terraform,github.com/oklog/run,(see go.sum),Apache-2.0,transitive,go,False,,a
terraform,github.com/vmihailenco/msgpack/v5,(see go.sum),BSD-2-Clause,transitive,go,False,,a
terraform,github.com/vmihailenco/tagparser/v2,(see go.sum),BSD-2-Clause,transitive,go,False,,a
terraform,golang.org/x/net,(see go.sum),BSD-3-Clause,transitive,go,False,,a
terraform,golang.org/x/sys/unix,(see go.sum),BSD-3-Clause,transitive,go,False,,a
terraform,golang.org/x/text,(see go.sum),BSD-3-Clause,transitive,go,False,,a
terraform,google.golang.org/genproto/googleapis/rpc/status,(see go.sum),Apache-2.0,transitive,go,False,,a
terraform,google.golang.org/grpc,(see go.sum),Apache-2.0,transitive,go,False,,a
terraform,google.golang.org/protobuf,(see go.sum),BSD-3-Clause,transitive,go,False,,a
proto,golang.org/x/net,(see go.sum),BSD-3-Clause,transitive,go,False,,a
proto,golang.org/x/sys/unix,(see go.sum),BSD-3-Clause,transitive,go,False,,a
proto,golang.org/x/text,(see go.sum),BSD-3-Clause,transitive,go,False,,a
proto,google.golang.org/genproto/googleapis/rpc/status,(see go.sum),Apache-2.0,transitive,go,False,,a
proto,google.golang.org/grpc,(see go.sum),Apache-2.0,direct,go,False,,a
proto,google.golang.org/protobuf,(see go.sum),BSD-3-Clause,direct,go,False,,a
hack/benchmark-fixture,golang.org/x/net,(see go.sum),BSD-3-Clause,transitive,go,False,,a
hack/benchmark-fixture,golang.org/x/sys/unix,(see go.sum),BSD-3-Clause,transitive,go,False,,a
hack/benchmark-fixture,golang.org/x/text,(see go.sum),BSD-3-Clause,transitive,go,False,,a
hack/benchmark-fixture,google.golang.org/genproto/googleapis/rpc/status,(see go.sum),Apache-2.0,transitive,go,False,,a
hack/benchmark-fixture,google.golang.org/grpc,(see go.sum),Apache-2.0,direct,go,False,,a
hack/benchmark-fixture,google.golang.org/protobuf,(see go.sum),BSD-3-Clause,transitive,go,False,,a
hack/windows-fixture,golang.org/x/net,(see go.sum),BSD-3-Clause,transitive,go,False,,a
hack/windows-fixture,golang.org/x/sys/unix,(see go.sum),BSD-3-Clause,transitive,go,False,,a
hack/windows-fixture,golang.org/x/text,(see go.sum),BSD-3-Clause,transitive,go,False,,a
hack/windows-fixture,google.golang.org/genproto/googleapis/rpc/status,(see go.sum),Apache-2.0,transitive,go,False,,a
hack/windows-fixture,google.golang.org/grpc,(see go.sum),Apache-2.0,direct,go,False,,a
hack/windows-fixture,google.golang.org/protobuf,(see go.sum),BSD-3-Clause,transitive,go,False,,a
web,@codemirror/autocomplete,6.20.3,MIT,direct,npm,False,,a
web,@codemirror/commands,6.10.4,MIT,direct,npm,False,,a
web,@codemirror/language,6.12.4,MIT,direct,npm,False,,a
web,@codemirror/state,6.7.1,MIT,direct,npm,False,,a
web,@codemirror/view,6.43.8,MIT,direct,npm,False,,a
web,@jridgewell/gen-mapping,0.3.13,MIT,transitive,npm,False,,a
web,@jridgewell/remapping,2.3.5,MIT,transitive,npm,False,,a
web,@jridgewell/resolve-uri,3.1.2,MIT,transitive,npm,False,,a
web,@jridgewell/sourcemap-codec,1.5.5,MIT,transitive,npm,False,,a
web,@jridgewell/trace-mapping,0.3.31,MIT,transitive,npm,False,,a
web,@lezer/common,1.5.2,MIT,transitive,npm,False,,a
web,@lezer/highlight,1.2.3,MIT,transitive,npm,False,,a
web,@lezer/lr,1.4.10,MIT,transitive,npm,False,,a
web,@marijn/find-cluster-break,1.0.3,MIT,transitive,npm,False,,a
web,@oxc-project/types,0.144.0,MIT,transitive,npm,False,,a
web,@polka/url,1.0.0-next.29,MIT,transitive,npm,False,,a
web,@rolldown/binding-linux-x64-gnu,1.2.4,MIT,transitive,npm,False,,a
web,@rolldown/pluginutils,1.0.1,MIT,transitive,npm,False,,a
web,@standard-schema/spec,1.1.0,MIT,transitive,npm,False,,a
web,@sveltejs/acorn-typescript,1.0.13,MIT,transitive,npm,False,,a
web,@sveltejs/adapter-static,3.0.10,MIT,direct,npm,False,,a
web,@sveltejs/kit,2.70.2,MIT,direct,npm,False,,a
web,@sveltejs/load-config,0.2.3,MIT,transitive,npm,False,,a
